RANK,GAME
10,Kirby Super Star
9,Warcraft II
8,Resident Evil
7,The Elder Scrolls II: Daggerfall
6,Tekken 2
5,Crash Bandicoot
4,Mario Kart 64
3,Tomb Raider
2,Pokemon Red and Blue
1,Super Mario 64
