RANK,GAME,
10,Spyro: Year of the Dragon,
9,Diablo II,
8,Marvel vs. Capcom 2: New Age of Heroes,
7,Mega Man Legends 2,
6,Deus Ex,
5,Pokemon Gold and Silver,*Listed as Pokemon Silver Version
4,Chrono Cross,
3,WWF No Mercy,
2,The Legend of Zelda: Majora's Mask,
1,The Sims,
