RANK,GAME,NOTES
9,Star Wars: X-Wing,
8,Shadowrun (SNES),
7,Mega Man X,
6,Shining Force II,
5,Secret of Mana,
4,Illusion of Gaia,
3,Myst,
2,The Legend of Zelda: Link's Awakening,
1,Doom,
