RANK,GAME,NOTES
10,Indiana Jones and the Fate of Atlantis,
9,Streets of Rage 2,
8,Wolfenstein 3D,
7,Alone in the Dark,
6,Mortal Kombat,
5,Lunar: The Silver Star,
4,Sonic the Hedgehog 2,
3,Teenage Mutant Ninja Turtles: Turtles in Time,
2,The Legend of Zelda: A Link to the Past,
1,Shin Megami Tensei,
