RANK,GAME
10,GoldenEye 007
9,X-Men vs. Street Fighter
8,Die Hard Arcade
7,Crash Bandicoot 2: Cortex Strikes Back
6,Oddworld: Abe's Oddyssee
5,Dungeon Keeper
4,Final Fantasy VII
3,Castlevania: Symphony of the Night
2,Star Fox 64
1,The Curse of Monkey Island
