RANK,GAME,NOTES
50,World of Warcraft: Shadowlands,
49,Yakuza 0,
48,Lair of the Clockwork God,
47,No Man's Sky,
46,Immortals Fenyx Rising,
45,Genshin Impact,
44,Factorio,
43,Mafia,*Mafia: Definitive Edition
42,Gears Tactics,
41,Tetris Effect,*Tetris Effect: Conneted
40,Spelunky 2,
39,13 Sentinels: Aegis Rim,
38,Destiny 2: Beyond Light,
37,Super Mario 64,*Super Mario 3D All-Stars
37,Super Mario Sunshine,
37,Super Mario Galaxy,
36,Xenoblade Chronicles,*Definitive Edition
35,The Outer Worlds,
34,Dragon Quest XI: Echoes of an Elusive Age,* Dragon Quest 11 S: Definitive Edition
33,Spiritfarer,
32,Borderlands 3,
31,Horizon: Zero Dawn,*PC
30,Dreams,
29,Wasteland 3,
28,Nioh 2,
27,Gears 5,
26,Resident Evil 3 (2020),
25,Crusader Kings III,
24,Star Wars Squadrons,
23,Persona 5,*Persona 5 Royal
22,Yakuza: Like a Dragon,
21,Tony Hawk's Pro Skater, *Listed as Tony Hawk's Pro Skater 1+2
21,Tony Hawk's Pro Skater 2, *Listed as Tony Hawk's Pro Skater 1+2
20,Fall Guys,
19,Forza Horizon 4,
18,Call of Duty: Warzone,
17,Streets of Rage 4,
16,Among Us,
15,Death Stranding,*PC
14,Half-Life: Alyx,
13,Ori and the Will of the Wisps,
12,Spider-Man: Miles Morales,
11,Assassin's Creed: Valhalla,
10,Doom Eternal,
9,Microsoft's Flight Simulator (2020),
8,Astro's Playroom,
7,Demon's Souls (2020),
6,Animal Crossing: New Horizons,
5,Cyberpunk 2077,
4,Hades,
3,Final Fantasy VII Remake,
2,Ghost of Tsushima,
1,The Last of Us Part II,
