RANK,GAME,
10,Duke Nukem 3D,
9,The Neverhood,
8,Nights Into Dreams,
7,Killer Instinct 2,
7,Killer Instinct,*Gold
6,Wing Commander IV: The Price of Freedom,
5,Guardian Heroes,
4,Panzer Dragoon II Zwei,
3,Super Mario RPG: Legend of the Seven Stars,
2,Super Mario 64,
1,The Elder Scrolls II: Daggerfall,
