RANK,GAME
10,Okami
9,Suikoden II
8,Chrono Trigger
7,Dragon Quest VIII: Journey of the Cursed King
6,Dragon Quest III
5,Tales of the Abyss
4,Xenogears
3,Monster Hunter Freedom 2
2,Final Fantasy X
1,Final Fantasy VII
