RANK,GAME,NOTES
15,Red Dead Redemption 2,
14,Tomb Raider: The Last Revelation,
13,Crash Team Racing,
12,Out of This World,
11,Need for Speed: Most Wanted,
10,Bloodborn,
9,Tomb Raider,
8,God of War (2018),
7,Grand Theft Auto: San Andreas,
6,Metal Gear Solid,
5,Silent Hill 2,
4,Mass Effect 2,
3,Final Fantasy VII,
2,The Witcher 3: Wild Hunt,
1,The Last of Us,
