RANK,GAME
10,Super Mario World
9,Final Fantasy VI
8,The Legend of Zelda: Ocarina of Time
7,The Legend of Zelda: Majora's Mask
6,SoulCalibur
5,Super Mario 64
4,Castlevania: Symphony of the Night
3,The Legend of Zelda: A Link to the Past
2,Tetris
1,Super Metroid
