RANK,GAME,NOTES
30,SSX 3,
29,Far Cry 3,
28,Burnout 3: Takedown,
27,Perfect Dark,
26,Forza Horizon 5,
25,Ori and the Will of the Wisps,
24,Celeste,
23,Tony Hawk's Pro Skater 2,
22,Gears of War,
21,Monster Hunter: World,
20,Splinter Cell: Chaos Theory,
19,Horizon: Forbidden West,
18,Gran Turismo 3: A-Spec,
17,Super Mario Galaxy 2,
16,Journey,
15,Metroid Prime,*Listed as Metroid Prime Remastered
14,Dead Space (2023),
13,Uncharted 2: Amount Thieves,
12,Mass Effect 2,
11,Resident Evil 2 Remake,
10,Silent Hill 2,
9,Batman: Arkham City,
8,God of War: Ragnarok,
7,The Witcher 3: Wild Hunt,
6,Metal Gear Solid 2: Sons of Liberty,
5,Grand Theft Auto V,
4,The Last of Us,*Listed as The Last of Us Part 1
3,Half-Life 2,
2,Elden Ring,
1,The Legend of Zelda: Breath of the Wild,
