RANK,GAME,
100,Archon: The Light and the Dark,
99,Rayman 2: The Great Escape,
98,Quake II,
97,Silent Hill 2,
96,Wave Race 64,
95,Bionic Commando,
94,Nights Into Dreams,
93,Ultima VII: The Black Gate,
92,Wipeout 3,
91,Pilotwings,
90,Okami,
89,Alone in the Dark,
88,Star Wars (Arcade),
87,Advance Wars,
86,Perfect Dark,
85,Mafia,
84,Day of the Tentacle,
83,World of Warcraft,
82,Syndicate,
81,Space Invaders,
80,Ninja Gaiden (2004),*Listed as Ninja Gaiden Black
79,Secret of Mana,
78,The Legend of Zelda: Link's Awakening,
77,Star Fox,
76,Final Fantasy VII,
75,GoldenEye 007,
74,Sam & Max Hit the Road,
73,Resident Evil,
72,MechWarrior 2,
71,Planescape Torment,
70,Tecmo Bowl,
69,Metal Gear Solid 2: Sons of Liberty,
68,Prince of Persia: Sands of Time,
67,Mega Man 2,
66,Burnout 3: Takedown,
65,Thief II: The Metal Age,
64,Total Annihilation,
63,Virtua Fighter 4: Evolution,
62,Wolfenstein 3D,
61,Phantasy Star IV: The End of the Millennium,
60,Prince of Persia,
59,Command & Conquer: Red Alert,
58,Mike Tyson's Punch Out!!,
57,Ico,
56,NHL '94,
55,Final Fantasy IV,
54,Contra,
53,Rome: Total War,
52,Dune II: The Building of a Dynasty,
51,Sonic the Hedgehog,
50,Super Smash Bros.,
49,Guitar Hero II,
48,Shining Force II,
47,God of War,
46,Tony Hawk's Pro Skater 2,
45,Battlefield 1942,
44,Panzer Dragoon Saga,
43,Baldur's Gate II: Shadows of Amn,
42,The Legend of Zelda,
41,Super Mario World 2: Yoshi's Island,
40,Gran Turismo 3: A-Spec,
39,Super Mario Bros. 3,
38,Final Fantasy Tactics,
37,Pokemon Red and Blue,
36,Grim Fandango,
35,Grand Theft Auto III,
34,Deus Ex,
33,Fallout,
32,Halo: Combat Evolved,
31,The Legend of Zelda: Majora's Mask,
30,Metroid Prime,
29,Dragon Quest,
28,Warcraft II,
27,Star Wars: Knights of the Old Republic,
26,Half-Life,
25,SimCity 2000,
24,Street Fighter II,
23,Super Mario Kart,
22,System Shock 2,
21,X-COM: UFO Defense,
20,Metal Gear Solid,
19,Doom,
18,Chrono Trigger,
17,Super Mario World,
16,Shadow of the Colossus,
15,Castlevania: Symphony of the Night,
14,Sid Meier's Pirates!,
13,Ms. Pac-Man,
12,Star Wars: TIE Fighter,
11,StarCraft,
10,Resident Evil 4,
9,Final Fantasy VI,
8,The Legend of Zelda: A Link to the Past,
7,Super Metroid,
6,Half-Life 2,
5,Super Mario 64,
4,The Legend of Zelda: Ocarina of Time,
3,Civilization II,
2,Tetris,
1,Super Mario Bros.,
