RANK,GAME,NOTES
100,Alien: Isolation,
99,Crazy Taxi,
98,Heavy Rain,
97,Battlefield 3,
96,Hitman: Blood Money,
95,Geometry Wars Retro Evolved 2,
94,TimeSplitters 2,
93,Dragon Quest IX: Sentinels of the Starry Skies,
92,Unreal Tournament,
91,The Sims 2,
90,Team Fortress 2,
89,Plants vs. Zombies,
88,Limbo,
87,Star Wars: Knights of the Old Republic,
86,Nidhogg,
85,Rock Band 3,
84,Hotline Miami,
83,OutRun 2006: Coast 2 Coast,
82,Max Payne,
81,Quake III Arena,
80,Hearthstone,
79,Tomb Raider (2013),
78,Dragon Age: Inquisition,
77,Super Monkey Ball,
76,Dead Space,
75,Sid Meier's Civilization V,
74,EarthBound,
73,Ikaruga,
72,Fable II,
71,Sonic the Hedgehog 2,
70,XCOM: Enemy Within,
69,Assassin's Creed IV: Black Flag,
68,Worms Armageddon,
67,Thief II: The Metal Age,
66,To The Moon,
65,SSX 3,
64,Towerfall Ascension,
63,F-Zero GX,
62,Spelunky,
61,Brother's: A Tale of Two Sons,
60,Grim Fandango,
59,Tekken 3,
58,Banjo-Kazooie,
57,Guild Wars 2,
56,Left 4 Dead,
55,Phoenix Wright: Ace Attorney,
54,Braid,
53,Persona 4,*Listed as Persona 4 Golden
52,Day of the Tentacle,
51,Tony Hawk's Pro Skater 3,
50,World of Warcraft,
49,Ghost Trick,
48,Super Smash Bros. for Wii U,
47,Castlevania: Symphony of the Night,
46,Fire Emblem: Awakening,
45,Secret of Mana,
44,The Secret of Monkey Island,
43,Destiny,
42,FIFA 15,
41,Super Mario World 2: Yoshi's Island,
40,Xenoblade Chronicles,
39,Ico,
38,Animal Crossing: New Leaf,
37,Okami,
36,Fallout 3,
35,Pokemon X and Y,
34,Batman: Arkham Asylum,
33,The Walking Dead,
32,Chrono Trigger,
31,Portal 2,
30,Bayonetta,
29,Deus Ex,
28,Super Metroid,
27,Street Fighter IV,*Listed as Ultra Street Fighter IV
26,Final Fantasy VI,
25,Minecraft,
24,Call of Duty 4: Modern Warfare,
23,Tetris,
22,Final Fantasy X,
21,Silent Hill 2,
20,Journey,
19,The Legend of Zelda: A Link to the Past,
18,Mario Kart 7,
17,Super Mario World,
16,BioShock,
15,Mass Effect 2,
14,The Last of Us,
13,The Elder Scrolls V: Skyrim,
12,Halo: Combat Evolved,*Listed as Halo: Combat Evolved Anniversary
11,Metroid Prime,
10,Shadow of the Colossus,
9,Grand Theft Auto V,
8,Half-Life 2,
7,Uncharted 2: Among Thieves,
6,Red Dead Redemption,
5,Metal Gear Solid 3: Snake Eater,
4,Super Mario Galaxy 2,
3,Resident Evil 4,
2,The Legend of Zelda: The Wind Waker,
1,Dark Souls,
