RANK,GAME
15,Tony Hawk's Pro Skater 2
14,Minecraft
13,Mortal Kombat
12,God of War
11,Grand Theft Auto III
10,NHL '94
9,Call of Duty 2
8,Final Fantasy VI
7,Madden NFL 2004
6,World of Warcraft
5,Tetris
4,Super Mario Kart
3,Ms. Pac-Man
2,The Legend of Zelda: Ocarina of Time
1,Super Mario Bros. 3
