RANK,GAME,
58,The Legend of Zelda,
57,Metroid,
56,Mortal Kombat II,
55,Star Wars: Knights of the Old Republic,
54,Dota 2,
53,Final Fantasy IV,
52,Batman: Arkham Asylum,
51,Grand Theft Auto III,
50,Super Smash Bros. Melee,
49,Metal Gear Solid 3: Snake Eater,
48,Mike Tyson's Punch Out!!,
47,Contra,
46,The Sims 2,
45,Robotron: 2084,
44,Uncharted 4: A Thief's End,
43,Castlevania: Symphony of the Night,
42,Fallout 3,
41,NBA Jam,
40,God of War,
39,The Legend of Zelda: Ocarina of Time,
38,StarCraft,
37,Pokemon Red and Blue,
36,Mega Man 2,
35,Super Mario Kart,
34,Resident Evil 4,
33,Donkey Kong,
32,Bloodborne,
31,Battlefield 2,
30,Portal,
29,Assassin's Creed II,
28,Grand Theft Auto: Vice City,
27,League of Legends,
26,Super Mario World,
25,The Last of Us,
24,Sid Meier's Civilization IV,
23,Overwatch,
22,Galaga,
21,Half-Life 2,
20,Super Metroid,
19,Mass Effect 2,
18,Counter-Strike,
17,Diablo II,
16,Chrono Trigger,
15,BioShock,
14,Street Fighter II,*Listed as Super Street Fighter II: Turbo
13,Doom,
12,Minecraft,
11,Ms. Pac-Man,
10,The Witcher 3: Wild Hunt,
9,The Elder Scrolls V: Skyrim,
8,Red Dead Redemption,
7,Call of Duty 4: Modern Warfare,
6,Final Fantasy VI,
5,World of Warcraft,
4,Grand Theft Auto V,
3,Tetris,
2,Super Mario Bros. 3,
1,The Legend of Zelda: A Link to the Past,
