RANK,GAME,NOTES
10,Shenmue,
9,Tetris,
8,The Legend of Zelda: A Link to the Past,
7,Super Mario World,
6,Super Mario Kart,
5,GoldenEye 007,
4,Metal Gear Solid,
3,Final Fantasy VII,
2,Super Mario 64,
1,The Legend of Zelda: Ocarina of Time,
